track,color,room,session_title,speaker,attendees
HTML5,#4879bc,Ballroom F,Ins and Outs of Sass: Build Front-End Systems ,Claudina Sarahe,40
Java,#faa21b,Ballroom B,ZombieTime - JSR 310 for the Undead ,Stephen Chin,36
Java,#faa21b,Ballroom B,Java Persistence API,Jason Porter,101
Java,#faa21b,Ballroom B,"Gimme Caching, the Hazelcast JCache Way ",Christoph Engelbert,77
Java,#faa21b,Ballroom B,Introduction to ElasticSearch,Roy Russo,87
JavaScript,#5b903f,Ballroom E,Durandal Aurelia: Next Generation Web Apps,Rob Eisenberg,60
JavaScript,#5b903f,Ballroom E,"IMMUTABILITY, INTERACTIVITY & JAVASCRIPT",David Nolen,100
JavaScript,#5b903f,Ballroom E,The Javascript Toolkit ,Tania Gonzales,75
JavaScript,#5b903f,Ballroom E,Visualizing Data with D3.js ,Stephen Thomas,85
JVM Languages + Debugging,#8b2246,Ballroom D,The Epic Groovy Puzzlers,Yoav Landman & Baruch Sadogursky,42
JVM Languages + Debugging,#8b2246,Ballroom D,Reactive Java EE - Let Me Count the Ways! ,Reza Rahman,80
JVM Languages + Debugging,#8b2246,Ballroom D,AAHH! There's a leak in my App! ,Freddy Guime,148
JVM Languages + Debugging,#8b2246,Ballroom D,The JDK Tools: the Secret Weapons of the JVM ,Yoel Spotts,133
Microservices + Security,#015351,Room 105,Flyway - Database Migration made easy,Axel Fontaine,47
Microservices + Security,#015351,Room 105,"Wait Wait, Don't Pwn Me! ",Mark Miller,60
Microservices + Security,#015351,Room 105,Patterns for Developing Secure Web Applications,Daniel Somerfield,143
Microservices + Security,#015351,Room 105,Microservices and You - the straight dope,Steven Pousty,74
Mobile,#8ec741,Ballroom A,Ionic Framework: The Missing SDK for Hybrid apps ,Mike Hartington,44
Mobile,#8ec741,Ballroom A,JSON calls in Android 101 - WITH PUPPETS!,Kate Catlin,127
Mobile,#8ec741,Ballroom A,Introducing NativeScript ,TJ VanToll,36
Mobile,#8ec741,Ballroom A,Introduction to Swift for iOS ,Michael Crump,76
User Experience + Tools,#e77ea5,Room 102,Intermediate Git ,Raju Gandhi,80
User Experience + Tools,#e77ea5,Room 102,Discover the Zen of Writing with Asciidoctor ,Dan Allen,27
User Experience + Tools,#e77ea5,Room 102,Object Oriented UX is the New Information Architecture,Sophia Voychehovski,48
User Experience + Tools,#e77ea5,Room 102,Designing APIs: the other User Interface,Burk Hufnagel,75
Web,#522f92,Room 117,Building and Debugging the Mobile Web ,Jason Weathersby,40
Web,#522f92,Room 117,Spring 4 Web Applications,Rossen Stoyanchev,75
Web,#522f92,Room 117,Vaadin and Web Components,Joonas Lehtinen,21
Web,#522f92,Room 117,Java Native GPIO Operations,Jeff Prestes,30
